source_url	status	bytes	content_type	local_path	found_on
https://cdn.sanity.io/images/rxr9fhnm/production/3dedfcc7fd604c30f42ed035357542b106f902b7-518x514.png?w=2400&h=514&max-h=2048&max-w=2048&q=85&auto=format	200	336159	image/png	3dedfcc7fd604c30f42ed035357542b106f902b7-518x514.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/3dedfcc7fd604c30f42ed035357542b106f902b7-518x514.png?w=2400&h=514&max-h=2048&max-w=2048&q=85&auto=format&dpr=3	200	1863812	image/png	3dedfcc7fd604c30f42ed035357542b106f902b7-518x514-2.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/ceccef76e00a62a6a239aa367378db80865ee842-1254x1254.png?w=2400&h=1254&max-h=2048&max-w=2048&q=85&auto=format	200	2349351	image/png	ceccef76e00a62a6a239aa367378db80865ee842-1254x1254.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/ceccef76e00a62a6a239aa367378db80865ee842-1254x1254.png?w=2400&h=1024&max-h=2048&max-w=2048&q=85&auto=format	200	834143	image/png	ceccef76e00a62a6a239aa367378db80865ee842-1254x1254-2.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/41ff53823df89f3f3cc58c68acd19f1318e57b06-1254x1254.png?w=2400&h=1254&max-h=2048&max-w=2048&q=85&auto=format	200	1792469	image/png	41ff53823df89f3f3cc58c68acd19f1318e57b06-1254x1254.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/41ff53823df89f3f3cc58c68acd19f1318e57b06-1254x1254.png?w=2400&h=1024&max-h=2048&max-w=2048&q=85&auto=format	200	631297	image/png	41ff53823df89f3f3cc58c68acd19f1318e57b06-1254x1254-2.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/d2daca672e27ee661c38cfe5cb5e4169b0f8c0f1-1254x1254.png?w=2400&h=1254&max-h=2048&max-w=2048&q=85&auto=format	200	2167472	image/png	d2daca672e27ee661c38cfe5cb5e4169b0f8c0f1-1254x1254.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/d2daca672e27ee661c38cfe5cb5e4169b0f8c0f1-1254x1254.png?w=2400&h=1024&max-h=2048&max-w=2048&q=85&auto=format	200	723989	image/png	d2daca672e27ee661c38cfe5cb5e4169b0f8c0f1-1254x1254-2.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/f3b87f2487fff100d177ce92d873ff06d5df50dc-1254x1254.png?rect=182,22,893,810&w=2400&h=1137&max-h=2048&max-w=2048&q=85&fit=crop&auto=format	200	2305248	image/png	f3b87f2487fff100d177ce92d873ff06d5df50dc-1254x1254.png	https://www.aspensearch.com
https://cdn.sanity.io/images/rxr9fhnm/production/c5ef32fa13e9d88d780cc4765eb7eaa24d646716-800x800.jpg?w=2400&h=800&max-h=2048&max-w=2048&q=85&auto=format	200	101500	image/jpeg	c5ef32fa13e9d88d780cc4765eb7eaa24d646716-800x800.jpg	https://www.aspensearch.com
